Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"magnetic charger portable",555,"Cell Phones & Accessories",FBA,"Small Standard-Size",7,793,32.1,9242,320489.7,3880,4.44,3,48523,34,0,-35,"Mar, 2026",6,10000,6.28
"portable magnetic charger",1556,"Cell Phones & Accessories",FBA,"Small Standard-Size",7,725,33.67,9976,370582.66,4527,4.45,3,54066,31,0,-28,"Mar, 2026",6,10000,4.59
"portable charger magnetic",11535,"Cell Phones & Accessories",FBA,"Small Standard-Size",7,732,33.27,10139,360994.53,5347,4.45,2,71760,32,0,-99,"Mar, 2026",6,10000,4.21
"magnetic portable charger ￼",180,"Cell Phones & Accessories",FBA,"Large Standard-Size",6,1757,24.27,5863,181041.22,2193,4.39,3,20557,35,0,26,"Mar, 2026",6,30000,7.83
"magnetic portable charger",9847,"Cell Phones & Accessories",FBA,"Small Standard-Size",7,1022,33.85,10612,392720.27,4561,4.40,2,54054,31,0,-17,"Mar, 2026",6,10000,6.07
"portable charger anker magnetic",65,"Cell Phones & Accessories",FBA,"Large Standard-Size",6,1586,44.72,10109,497098.1,7522,4.46,2,122846,16,0,0,"Dec, 2025",4,714,2.76
"portable wireless magnetic charger",23,"Cell Phones & Accessories",FBA,"Large Standard-Size",6,1110,32.83,6565,246019.89,3137,4.45,3,36219,31,0,0,"Mar, 2026",5,20000,5.90
"magnetic iphone portable charger",423,"Cell Phones & Accessories",FBA,"Large Standard-Size",6,781,31.27,8330,275625.65,2970,4.45,2,32052,33,0,-35,"Mar, 2026",5,4000,7.73
"slim magnetic portable charger",198,"Cell Phones & Accessories",FBA,"Small Standard-Size",7,1041,32.73,8075,302444.33,2939,4.34,3,28900,35,0,-21,"Dec, 2025",4,3000,5.63
"phone charger portable magnetic",231,"Cell Phones & Accessories",FBA,"Large Standard-Size",7,1082,30.44,8747,300064.94,3832,4.44,2,48318,34,0,-31,"Mar, 2026",4,8000,5.83
