Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"hydroponic growing system",2125,"Patio, Lawn & Garden",FBA,"Large Standard-Size",4,26813,155.6,764,65737.75,607,4.39,2,2529,-14,46,-23,"Dec, 2025",6,3000,2.75
"hydroponic growing system kit",176,"Patio, Lawn & Garden",FBA,"Large Standard-Size",3,27185,90.3,1125,66000.12,771,4.43,2,3981,24,0,-21,"Dec, 2025",4,1000,2.27
"hydroponic lettuce growing system",94,"Patio, Lawn & Garden",FBA,"Large Standard-Size",5,31496,109.55,1131,72506.6,808,4.36,2,4012,1035,0,-26,"Dec, 2025",2,661,2.41
"vertical hydroponic growing system",346,"Patio, Lawn & Garden",FBA,"Large bulky",4,80819,229.83,341,41380.58,293,4.31,2,281,,1948,-34,"Dec, 2025",3,573,2.88
"hydroponic tower growing system",38,"Patio, Lawn & Garden",FBA,"Large bulky",3,103407,189.31,86,17833.16,59,4.08,2,43,,0,-14,"Dec, 2025",3,6000,3.46
"hydroponic system growing kit",35,"Patio, Lawn & Garden",FBA,"Large Standard-Size",4,21434,98.09,1564,82428.72,964,4.45,2,6066,29,0,3,"Dec, 2025",4,9000,2.51
"hydroponic tomato growing system",449,"Patio, Lawn & Garden",FBA,"Large Standard-Size",4,43559,73.79,836,56898.34,585,4.29,2,3008,-25,0,-19,"Dec, 2025",0,1000,1.88
"best hydroponic growing system",242,"Patio, Lawn & Garden",FBA,"Large Standard-Size",4,36904,171.09,750,66453.45,864,4.50,2,2182,-4,0,-27,"Dec, 2025",1,270,6.75
"hydroponic indoor growing system",79,"Patio, Lawn & Garden",FBA,"Large Standard-Size",4,36448,155.62,882,75714.45,715,4.48,2,2337,28,0,-1,"Dec, 2025",4,10000,2.16
"tower garden hydroponic growing system",93,"Patio, Lawn & Garden",FBA,"Large bulky",3,126696,245.68,57,16872.39,54,4.28,1,87,,0,0,"Dec, 2025",2,466,8.14
